date,borough,total_trips
2025-03-17 00:00:00,Staten Island,3
2025-03-17 00:00:00,Unknown,217
2025-03-18 00:00:00,Bronx,286
2025-03-18 00:00:00,Brooklyn,976
2025-03-18 00:00:00,EWR,1
2025-03-18 00:00:00,Manhattan,87926
2025-03-18 00:00:00,Queens,8937
2025-03-18 00:00:00,Staten Island,3
2025-03-18 00:00:00,Unknown,238
2025-03-19 00:00:00,Bronx,295
2025-03-19 00:00:00,Brooklyn,1009
2025-03-19 00:00:00,EWR,1
2025-03-19 00:00:00,Manhattan,92527
2025-03-19 00:00:00,Queens,8239
2025-03-19 00:00:00,Staten Island,2
2025-03-19 00:00:00,Unknown,247
2025-03-20 00:00:00,Bronx,286
2025-03-20 00:00:00,Brooklyn,961
2025-03-20 00:00:00,EWR,9
2025-03-20 00:00:00,Manhattan,102047
2025-03-20 00:00:00,Queens,9218
2025-03-20 00:00:00,Staten Island,3
2025-03-20 00:00:00,Unknown,237
2025-03-21 00:00:00,Bronx,308
2025-03-21 00:00:00,Brooklyn,960
2025-03-21 00:00:00,EWR,5
2025-03-21 00:00:00,Manhattan,91184
2025-03-21 00:00:00,Queens,10038
2025-03-21 00:00:00,Staten Island,2
2025-03-21 00:00:00,Unknown,209
2025-03-22 00:00:00,Bronx,204
2025-03-22 00:00:00,Brooklyn,926
2025-03-22 00:00:00,EWR,1
2025-03-22 00:00:00,Manhattan,95125
2025-03-22 00:00:00,Queens,7501
2025-03-22 00:00:00,Staten Island,3
2025-03-22 00:00:00,Unknown,266
2025-03-23 00:00:00,Bronx,147
2025-03-23 00:00:00,Brooklyn,948
2025-03-23 00:00:00,EWR,6
2025-03-23 00:00:00,Manhattan,74879
2025-03-23 00:00:00,Queens,11162
2025-03-23 00:00:00,Staten Island,1
2025-03-23 00:00:00,Unknown,283
2025-03-24 00:00:00,Bronx,241
2025-03-24 00:00:00,Brooklyn,938
2025-03-24 00:00:00,EWR,3
2025-03-24 00:00:00,Manhattan,75258
2025-03-24 00:00:00,Queens,10793
2025-03-24 00:00:00,Staten Island,4
2025-03-24 00:00:00,Unknown,188
2025-03-25 00:00:00,Bronx,275
2025-03-25 00:00:00,Brooklyn,957
2025-03-25 00:00:00,EWR,1
2025-03-25 00:00:00,Manhattan,86530
2025-03-25 00:00:00,Queens,9065
2025-03-25 00:00:00,Staten Island,1
2025-03-25 00:00:00,Unknown,205
2025-03-26 00:00:00,Bronx,281
2025-03-26 00:00:00,Brooklyn,946
2025-03-26 00:00:00,EWR,6
2025-03-26 00:00:00,Manhattan,96183
2025-03-26 00:00:00,Queens,8824
2025-03-26 00:00:00,Staten Island,1
2025-03-26 00:00:00,Unknown,255
2025-03-27 00:00:00,Bronx,305
2025-03-27 00:00:00,Brooklyn,1013
2025-03-27 00:00:00,EWR,5
2025-03-27 00:00:00,Manhattan,99662
2025-03-27 00:00:00,Queens,9697
2025-03-27 00:00:00,Staten Island,2
2025-03-27 00:00:00,Unknown,274
2025-03-28 00:00:00,Bronx,266
2025-03-28 00:00:00,Brooklyn,959
2025-03-28 00:00:00,EWR,2
2025-03-28 00:00:00,Manhattan,93877
2025-03-28 00:00:00,Queens,9517
2025-03-28 00:00:00,Staten Island,3
2025-03-28 00:00:00,Unknown,295
2025-03-29 00:00:00,Bronx,196
2025-03-29 00:00:00,Brooklyn,1050
2025-03-29 00:00:00,EWR,3
2025-03-29 00:00:00,Manhattan,103589
2025-03-29 00:00:00,Queens,7796
2025-03-29 00:00:00,Staten Island,3
2025-03-29 00:00:00,Unknown,300
2025-03-30 00:00:00,Bronx,145
2025-03-30 00:00:00,Brooklyn,775
2025-03-30 00:00:00,EWR,5
2025-03-30 00:00:00,Manhattan,73137
2025-03-30 00:00:00,Queens,11027
2025-03-30 00:00:00,Staten Island,1
2025-03-30 00:00:00,Unknown,203
2025-03-31 00:00:00,Bronx,289
2025-03-31 00:00:00,Brooklyn,787
2025-03-31 00:00:00,EWR,3
2025-03-31 00:00:00,Manhattan,76317
2025-03-31 00:00:00,Queens,11159
2025-03-31 00:00:00,Staten Island,1
2025-03-31 00:00:00,Unknown,198
2025-04-01 00:00:00,Bronx,263
2025-04-01 00:00:00,Brooklyn,919
2025-04-01 00:00:00,EWR,5
2025-04-01 00:00:00,Manhattan,91481
2025-04-01 00:00:00,Queens,10875
2025-04-01 00:00:00,Staten Island,1
2025-04-01 00:00:00,Unknown,293
2025-04-02 00:00:00,Bronx,278
2025-04-02 00:00:00,Brooklyn,974
2025-04-02 00:00:00,EWR,1
2025-04-02 00:00:00,Manhattan,100639
2025-04-02 00:00:00,Queens,8673
2025-04-02 00:00:00,Staten Island,2
2025-04-02 00:00:00,Unknown,283
2025-04-03 00:00:00,Bronx,297
2025-04-03 00:00:00,Brooklyn,980
2025-04-03 00:00:00,EWR,2
2025-04-03 00:00:00,Manhattan,100807
2025-04-03 00:00:00,Queens,9410
2025-04-03 00:00:00,Staten Island,4
2025-04-03 00:00:00,Unknown,229
2025-04-04 00:00:00,Bronx,314
2025-04-04 00:00:00,Brooklyn,994
2025-04-04 00:00:00,EWR,2
2025-04-04 00:00:00,Manhattan,97475
2025-04-04 00:00:00,Queens,8881
2025-04-04 00:00:00,Staten Island,1
2025-04-04 00:00:00,Unknown,212
2025-04-05 00:00:00,Bronx,184
2025-04-05 00:00:00,Brooklyn,860
2025-04-05 00:00:00,EWR,6
2025-04-05 00:00:00,Manhattan,104287
2025-04-05 00:00:00,Queens,7078
2025-04-05 00:00:00,Staten Island,4
2025-04-05 00:00:00,Unknown,293
2025-04-06 00:00:00,Bronx,154
2025-04-06 00:00:00,Brooklyn,948
2025-04-06 00:00:00,EWR,3
2025-04-06 00:00:00,Manhattan,75510
2025-04-06 00:00:00,Queens,10548
2025-04-06 00:00:00,Staten Island,4
2025-04-06 00:00:00,Unknown,244
2025-04-07 00:00:00,Bronx,217
2025-04-07 00:00:00,Brooklyn,942
2025-04-07 00:00:00,EWR,3
2025-04-07 00:00:00,Manhattan,83115
2025-04-07 00:00:00,Queens,10736
2025-04-07 00:00:00,Staten Island,2
2025-04-07 00:00:00,Unknown,205
2025-04-08 00:00:00,Bronx,290
